CellNumber,GrowthRate,BirthLength,LifeHistory
513,0.027774412,17,27
514,0.022681417,17,23
515,-0.287682072,4,2
516,0.233577309,11,5
517,0,9,2
518,0.111571776,8,3
519,0.023660986,20,27
520,0.02574339,19,37
521,0,5,2
522,0.020729432,22,22
523,0.032947985,21,19
524,0.022091638,18,21
525,0.030038693,17,21
526,0.032378192,20,20
527,0.032654815,20,19
528,0.053479132,17,17
529,0,6,4
530,0.075448404,12,14
532,0.202732554,4,3
533,-0.223143551,5,2
534,0.037190592,12,7
535,0.037190592,20,7
536,0,6,2
537,0.047803254,8,30
538,0.030386926,25,13
539,0.037883488,24,17
540,-0.366204096,24,4
541,0.109234475,27,7
542,0.048232411,11,6
543,0.022772654,22,25
544,0.022762513,20,23
545,0.030145257,22,9
546,0.012783337,22,11
547,-1.064710737,29,2
548,0.34657359,31,3
549,0.018232156,40,11
550,0.014089694,38,13
551,0.049721829,9,31
552,0.014557077,24,14
553,0.030363539,22,19
554,-0.117783036,9,2
555,0,12,7
556,0.875468737,5,2
557,0.02210951,20,25
558,-0.458145366,15,3
559,0.15415068,6,2
560,-0.182321557,6,2
561,0.02743668,19,20
562,0.033635787,19,20
563,0.034753128,19,16
564,0.030028677,26,20
565,0.029572162,24,23
566,0.025992913,22,24
567,0.031333575,20,16
568,0.032629082,20,23
569,0,6,2
570,-0.004850947,10,47
571,-0.029722912,10,13
572,0.129845385,8,13
573,0.032552073,23,18
574,0.031397162,17,24
577,0.181452747,16,3
578,-0.112400101,22,10
580,0.031559482,18,15
581,0.079625954,20,13
583,-0.036481431,14,20
584,0.028961793,24,15
586,-0.183258146,10,6
587,-0.100335348,11,3
588,-0.080042708,13,2
589,0.036771985,31,14
590,0.223143551,4,2
591,0.033007009,21,22
592,0.034033009,22,20
593,0.023850889,22,18
594,0.036154125,20,14
595,0.030363539,22,19
596,0.027826224,20,25
597,0.028739015,18,27
598,0.027768595,19,23
599,0.293893332,15,3
600,0,12,2
601,0.038262407,62,7
602,-0.017435277,16,34
603,0,7,2
604,0.104025718,15,7
605,0.03069482,22,10
606,0.032831766,22,16
607,-0.026706279,8,6
608,0.066765696,7,3
609,0.025341569,12,33
610,0.014018895,17,34
611,0.099873844,9,12
612,0.021356287,25,14
613,0.044175481,14,23
614,0.028765458,22,20
615,0.030508871,19,27
616,0.029375227,20,17
617,-0.07247904,24,18
618,0.024091904,21,21
620,0.480705584,13,3
622,0.094098334,16,11
623,0.111923158,16,6
624,0.031126481,22,21
625,0.030790856,32,23
626,0.032313794,19,13
627,0.03150669,20,23
628,0.032918576,20,18
629,0.031540333,24,7
630,0.040115868,10,17
631,0.028319774,21,21
632,0.031737092,19,22
633,0.032918576,20,18
634,0.030406687,22,28
635,-0.589327498,13,3
636,0.025745249,21,23
