CellId,birth Length,AverageLength,AverageVelocity,LifeHistory,growth rate
392.0,8.13376903533936,8.13376903533936,0.0,1.0,0.0
393.0,11.7829132080078,25.094211244583125,-0.752,20.0,0.037
394.0,23.2134475708008,23.618751934596496,-0.858,14.0,-0.044
395.0,20.7124309539795,25.397983551025394,-0.696,18.0,0.014
396.0,7.48833608627319,7.48833608627319,0.0,1.0,0.0
397.0,6.37584972381592,6.37584972381592,0.0,1.0,0.0
399.0,32.2636070251465,32.2636070251465,0.0,1.0,0.0
400.0,11.0553064346313,10.354396343231175,1.152,2.0,-0.045
401.0,14.4890975952148,16.366399765014634,-1.385,3.0,0.05
402.0,22.8213443756104,27.827189854213174,0.441,14.0,0.019
403.0,3.41172361373901,3.41172361373901,0.0,1.0,0.0
404.0,14.4046564102173,19.795053164164226,-0.346,12.0,0.027
405.0,17.036376953125,16.474392414093014,-1.181,6.0,-0.034
407.0,5.76312065124512,5.76312065124512,0.0,1.0,0.0
408.0,25.7221260070801,19.55389776229859,-1.027,10.0,-0.034
410.0,10.3385753631592,15.028900146484402,-0.799,7.0,0.061
411.0,20.5950088500977,20.908459027608234,-0.728,6.0,0.004
412.0,13.5439472198486,14.8201479911804,-1.774,4.0,0.016
414.0,7.38613605499268,7.38613605499268,0.0,1.0,0.0
415.0,7.47311353683472,7.47311353683472,0.0,1.0,0.0
416.0,10.6822633743286,11.735821723937987,-1.66,7.0,0.019
417.0,11.38991355896,11.751837412516267,-0.296,3.0,0.009
419.0,29.8589878082275,31.38048907688684,0.291,7.0,-0.006
421.0,7.3038501739502,7.3038501739502,0.0,1.0,0.0
424.0,11.6486310958862,12.23888158798215,0.626,2.0,0.032
